[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[14/7/25, 2:08:34 p. m.] Guido Avios: cheques depositados ‎<adjunto: 00000460-PHOTO-2025-07-14-14-08-34.jpg>
‎[14/7/25, 3:24:54 p. m.] Guido Avios: ‎<adjunto: 00000461-PHOTO-2025-07-14-15-24-54.jpg>
[14/7/25, 3:24:54 p. m.] Guido Avios: pago a braian pp
‎[15/7/25, 2:51:31 p. m.] Guido Avios: ivess ‎<adjunto: 00000463-PHOTO-2025-07-15-14-51-31.jpg>
‎[16/7/25, 1:37:46 p. m.] Guido Avios: ‎<adjunto: 00000464-PHOTO-2025-07-16-13-37-46.jpg>
[16/7/25, 1:37:47 p. m.] Guido Avios: Pago kirplastic 
‎[16/7/25, 5:22:03 p. m.] Guido Avios: ‎<adjunto: 00000466-PHOTO-2025-07-16-17-22-03.jpg>
[16/7/25, 5:22:03 p. m.] Guido Avios: Pato para printmax
‎[17/7/25, 10:25:26 a. m.] Guido Avios: pago alquiler rojas ‎<adjunto: 00000468-PHOTO-2025-07-17-10-25-26.jpg>
‎[17/7/25, 10:28:05 a. m.] Guido Avios: alquiler rojas ‎<adjunto: 00000469-PHOTO-2025-07-17-10-28-05.jpg>
‎[17/7/25, 11:07:07 a. m.] Guido Avios: ‎<adjunto: 00000470-PHOTO-2025-07-17-11-07-07.jpg>
[17/7/25, 11:07:07 a. m.] Guido Avios: pago expotex
‎[17/7/25, 3:41:16 p. m.] Guido Avios: ‎<adjunto: 00000472-PHOTO-2025-07-17-15-41-16.jpg>
[17/7/25, 3:41:16 p. m.] Guido Avios: Pago braian
‎[17/7/25, 4:00:45 p. m.] Guido Avios: polimeros juanita ‎<adjunto: 00000474-PHOTO-2025-07-17-16-00-45.jpg>
‎[18/7/25, 4:20:53 p. m.] Guido Avios: adelanto guille ‎<adjunto: 00000475-PHOTO-2025-07-18-16-20-53.jpg>
‎[22/7/25, 10:19:09 a. m.] Guido Avios: documento (1).pdf • ‎2 páginas ‎<adjunto: 00000476-documento (1).pdf>
‎[24/7/25, 1:14:40 p. m.] Guido Avios: ‎<adjunto: 00000477-PHOTO-2025-07-24-13-14-40.jpg>
[24/7/25, 1:14:41 p. m.] Guido Avios: pago a kirplastic
‎[24/7/25, 2:54:36 p. m.] Guido Avios: pago a natalfim con 3 e-cheques $700.098 ‎<adjunto: 00000479-PHOTO-2025-07-24-14-54-36.jpg>
‎[24/7/25, 4:23:13 p. m.] Guido Avios: 2 echeques para markplast total $588.547,5 ‎<adjunto: 00000480-PHOTO-2025-07-24-16-23-13.jpg>
‎[25/7/25, 11:34:11 a. m.] Guido Avios: Pago a braian ‎<adjunto: 00000481-PHOTO-2025-07-25-11-34-11.jpg>
‎[25/7/25, 1:03:37 p. m.] Guido Avios: alquiiler facu ‎<adjunto: 00000482-PHOTO-2025-07-25-13-03-37.jpg>
‎[25/7/25, 1:04:01 p. m.] Guido Avios: alquiler facu ‎<adjunto: 00000483-PHOTO-2025-07-25-13-04-01.jpg>
‎[28/7/25, 9:15:27 a. m.] Guido Avios: ‎<adjunto: 00000484-PHOTO-2025-07-28-09-15-27.jpg>
[28/7/25, 9:15:30 a. m.] Guido Avios: flete
‎[28/7/25, 3:30:36 p. m.] Guido Avios: ‎<adjunto: 00000486-PHOTO-2025-07-28-15-30-36.jpg>
[28/7/25, 3:30:36 p. m.] Guido Avios: pago acuario
[29/7/25, 10:11:58 a. m.] Guido Avios: pago a carvi en efectivo $700.000
‎[29/7/25, 2:49:57 p. m.] Guido Avios: moto ‎<adjunto: 00000489-PHOTO-2025-07-29-14-49-57.jpg>
[29/7/25, 2:50:12 p. m.] Guido Avios: $18.400 moto efectivo
‎[29/7/25, 3:06:28 p. m.] Guido Avios: cintas ‎<adjunto: 00000491-PHOTO-2025-07-29-15-06-28.jpg>
‎[29/7/25, 4:27:39 p. m.] Guido Avios: colocacción de hilo + alfiler ‎<adjunto: 00000492-PHOTO-2025-07-29-16-27-39.jpg>
‎[30/7/25, 10:49:37 a. m.] Guido Avios: Para labels ! ‎<adjunto: 00000493-PHOTO-2025-07-30-10-49-37.jpg>
‎[30/7/25, 10:50:26 a. m.] Guido Avios: Para kirplastic ‎<adjunto: 00000494-PHOTO-2025-07-30-10-50-26.jpg>
[31/7/25, 9:48:32 a. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[31/7/25, 10:16:00 a. m.] Guido Avios: gastos ofi ‎<adjunto: 00000496-PHOTO-2025-07-31-10-16-00.jpg>
[31/7/25, 10:30:53 a. m.] Guido Avios: $918.000 en efectivo para levantar el cheque rechazado de Kirplastic
‎[31/7/25, 2:35:05 p. m.] Guido Avios: ‎<adjunto: 00000498-PHOTO-2025-07-31-14-35-05.jpg>
[31/7/25, 2:35:05 p. m.] Guido Avios: pago a kirplastic (adelanto de chesda)
[1/8/25, 9:32:35 a. m.] Guido Avios: printmax 300.000 en efectivo
‎[1/8/25, 9:34:06 a. m.] Guido Avios: caro ‎<adjunto: 00000501-PHOTO-2025-08-01-09-34-06.jpg>
‎[1/8/25, 11:57:18 a. m.] Guido Avios: pago a brian ‎<adjunto: 00000502-PHOTO-2025-08-01-11-57-18.jpg>
‎[1/8/25, 3:50:06 p. m.] Guido Avios: adelanto bruno ‎<adjunto: 00000503-PHOTO-2025-08-01-15-50-06.jpg>
‎[1/8/25, 3:51:18 p. m.] Guido Avios: adelanto mati ‎<adjunto: 00000504-PHOTO-2025-08-01-15-51-18.jpg>
‎[1/8/25, 4:02:19 p. m.] Guido Avios: honorarios gasti ‎<adjunto: 00000505-PHOTO-2025-08-01-16-02-19.jpg>
‎[1/8/25, 4:02:58 p. m.] Guido Avios: honorarios alex ‎<adjunto: 00000506-PHOTO-2025-08-01-16-02-58.jpg>
‎[1/8/25, 4:36:57 p. m.] Guido Avios: marklpast ‎<adjunto: 00000507-PHOTO-2025-08-01-16-36-57.jpg>
[4/8/25, 11:02:33 a. m.] Facu: Esta bien?
[4/8/25, 11:03:23 a. m.] Guido Avios: me lo paso el
‎[5/8/25, 1:06:55 p. m.] Guido Avios: pago metrogas ‎<adjunto: 00000510-PHOTO-2025-08-05-13-06-55.jpg>
‎[5/8/25, 3:43:30 p. m.] Guido Avios: pago moto ‎<adjunto: 00000511-PHOTO-2025-08-05-15-43-30.jpg>
‎[5/8/25, 4:03:39 p. m.] Guido Avios: Pago sueldo guile $200.000 + comisiones $504.090,64 ‎<adjunto: 00000512-PHOTO-2025-08-05-16-03-39.jpg>
‎[5/8/25, 4:19:38 p. m.] Guido Avios: Braian ‎<adjunto: 00000513-PHOTO-2025-08-05-16-19-38.jpg>
‎[5/8/25, 4:19:58 p. m.] Guido Avios: Acuario ‎<adjunto: 00000514-PHOTO-2025-08-05-16-19-58.jpg>
‎[5/8/25, 4:21:44 p. m.] Guido Avios: braian ‎<adjunto: 00000515-PHOTO-2025-08-05-16-21-44.jpg>
‎[5/8/25, 4:53:37 p. m.] Guido Avios: adelanto Achu ‎<adjunto: 00000516-PHOTO-2025-08-05-16-53-37.jpg>
‎[6/8/25, 12:31:41 p. m.] Guido Avios: moto ‎<adjunto: 00000517-PHOTO-2025-08-06-12-31-41.jpg>
‎[6/8/25, 3:41:56 p. m.] Guido Avios: ‎<adjunto: 00000518-PHOTO-2025-08-06-15-41-56.jpg>
[6/8/25, 3:41:56 p. m.] Guido Avios: pago a acuario con echeque
‎[6/8/25, 3:50:08 p. m.] Guido Avios: e-cheque a natalfim ‎<adjunto: 00000520-PHOTO-2025-08-06-15-50-08.jpg>
‎[6/8/25, 3:51:36 p. m.] Guido Avios: pago c /cheque físico a labels ‎<adjunto: 00000521-PHOTO-2025-08-06-15-51-36.jpg>
‎[6/8/25, 4:04:26 p. m.] Guido Avios: pago ecoflex ‎<adjunto: 00000522-PHOTO-2025-08-06-16-04-26.jpg>
‎[6/8/25, 4:19:21 p. m.] Guido Avios: colocación de HILO + ALFILER ‎<adjunto: 00000523-PHOTO-2025-08-06-16-19-21.jpg>
‎[6/8/25, 4:20:28 p. m.] Guido Avios: hillo ‎<adjunto: 00000524-PHOTO-2025-08-06-16-20-28.jpg>
‎[7/8/25, 12:05:55 p. m.] Facu: Sueldo Achu ‎<adjunto: 00000525-PHOTO-2025-08-07-12-05-55.jpg>
‎[7/8/25, 12:20:11 p. m.] Guido Avios: sueldo mait ‎<adjunto: 00000526-PHOTO-2025-08-07-12-20-11.jpg>
‎[7/8/25, 12:20:23 p. m.] Guido Avios: ‎<adjunto: 00000527-PHOTO-2025-08-07-12-20-23.jpg>
[7/8/25, 12:20:23 p. m.] Guido Avios: sueldo mile
‎[7/8/25, 3:08:19 p. m.] Facu: saldo bruno.pdf • ‎1 página ‎<adjunto: 00000529-saldo bruno.pdf>
‎[7/8/25, 3:08:20 p. m.] Facu: Sueldo Guido.pdf • ‎1 página ‎<adjunto: 00000530-Sueldo Guido.pdf>
‎[7/8/25, 3:08:21 p. m.] Facu: sueldo mercedes.pdf • ‎1 página ‎<adjunto: 00000531-sueldo mercedes.pdf>
[7/8/25, 3:08:37 p. m.] Facu: falta pablo perla?
[7/8/25, 3:08:40 p. m.] Facu: y tarjetas?
[7/8/25, 3:13:05 p. m.] Guido Avios: Está pago
[7/8/25, 3:13:08 p. m.] Guido Avios: Ahí mando
‎[7/8/25, 3:40:03 p. m.] Guido Avios: Comprobante_transferencia_6800092.pdf • ‎1 página ‎<adjunto: 00000536-Comprobante_transferencia_6800092.pdf>
‎[7/8/25, 3:40:31 p. m.] Guido Avios: Comprobante_transferencia_6800075.pdf • ‎1 página ‎<adjunto: 00000537-Comprobante_transferencia_6800075.pdf>
‎[7/8/25, 3:42:09 p. m.] Guido Avios: pago visa santander ‎<adjunto: 00000538-PHOTO-2025-08-07-15-42-09.jpg>
‎[7/8/25, 3:47:22 p. m.] Guido Avios: pago amex visa pesos ‎<adjunto: 00000539-PHOTO-2025-08-07-15-47-22.jpg>
‎[7/8/25, 4:25:42 p. m.] Guido Avios: pago tarjeta visa dolares ‎<adjunto: 00000540-PHOTO-2025-08-07-16-25-42.jpg>
‎[8/8/25, 9:45:34 a. m.] Guido Avios: pago de alfileres ‎<adjunto: 00000541-PHOTO-2025-08-08-09-45-34.jpg>
‎[8/8/25, 10:30:34 a. m.] Guido Avios: Auth_Download_Voucher_6818023.pdf • ‎1 página ‎<adjunto: 00000542-Auth_Download_Voucher_6818023.pdf>
‎[8/8/25, 10:41:42 a. m.] Guido Avios: abl ‎<adjunto: 00000543-PHOTO-2025-08-08-10-41-42.jpg>
‎[8/8/25, 10:49:35 a. m.] Guido Avios: ecoflex ‎<adjunto: 00000544-PHOTO-2025-08-08-10-49-35.jpg>
‎[8/8/25, 10:54:50 a. m.] Guido Avios: diferencia ecoflez ‎<adjunto: 00000545-PHOTO-2025-08-08-10-54-50.jpg>
‎[8/8/25, 11:11:25 a. m.] Guido Avios: ‎<adjunto: 00000546-PHOTO-2025-08-08-11-11-25.jpg>
[8/8/25, 11:11:25 a. m.] Guido Avios: Pago a printmax 
‎[8/8/25, 12:17:18 p. m.] Guido Avios: ‎<adjunto: 00000548-PHOTO-2025-08-08-12-17-18.jpg>
[8/8/25, 12:17:19 p. m.] Guido Avios: adelanto de chesda para kirlpastic
‎[8/8/25, 2:17:05 p. m.] Guido Avios: Braian ‎<adjunto: 00000550-PHOTO-2025-08-08-14-17-05.jpg>
‎[8/8/25, 4:27:56 p. m.] Guido Avios: hilo  + alfiler ‎<adjunto: 00000551-PHOTO-2025-08-08-16-27-56.jpg>
‎[8/8/25, 4:28:41 p. m.] Guido Avios: gastos moto ‎<adjunto: 00000552-PHOTO-2025-08-08-16-28-41.jpg>
‎[8/8/25, 4:29:23 p. m.] Guido Avios: gastos ofi ‎<adjunto: 00000553-PHOTO-2025-08-08-16-29-23.jpg>
‎[8/8/25, 4:30:08 p. m.] Guido Avios: flete ‎<adjunto: 00000554-PHOTO-2025-08-08-16-30-08.jpg>
‎[12/8/25, 9:48:43 a. m.] Guido Avios: pago aysa ‎<adjunto: 00000555-PHOTO-2025-08-12-09-48-43.jpg>
‎[12/8/25, 3:16:04 p. m.] Guido Avios: ‎<adjunto: 00000556-PHOTO-2025-08-12-15-16-04.jpg>
[12/8/25, 3:16:04 p. m.] Guido Avios: Pago Braian 
[12/8/25, 3:49:20 p. m.] Facu: Sumale algo de cash!
[12/8/25, 3:49:29 p. m.] Facu: Completale 350
‎[13/8/25, 11:46:09 a. m.] Guido Avios: FLETE ‎<adjunto: 00000560-PHOTO-2025-08-13-11-46-09.jpg>
‎[14/8/25, 9:33:35 a. m.] Facu: ‎<adjunto: 00000561-PHOTO-2025-08-14-09-33-35.jpg>
[14/8/25, 9:33:35 a. m.] Facu: Este para kirplastic
‎[14/8/25, 12:41:17 p. m.] Guido Avios: gastos varios ofi ‎<adjunto: 00000563-PHOTO-2025-08-14-12-41-17.jpg>
[14/8/25, 3:08:39 p. m.] Guido Avios: Cheque 1942$500.000 para labels
[14/8/25, 4:12:05 p. m.] Guido Avios: Recibí $140.000 en efectivo de impairw
‎[14/8/25, 5:21:29 p. m.] Guido Avios: 761876 _ 00147177514082025172111 (1).pdf • ‎1 página ‎<adjunto: 00000566-761876 _ 00147177514082025172111 (1).pdf>
‎[18/8/25, 11:23:50 a. m.] Guido Avios: Pago a arslanian + $51.200 en efectivo ‎<adjunto: 00000567-PHOTO-2025-08-18-11-23-50.jpg>
‎[18/8/25, 11:25:17 a. m.] Guido Avios: Kirplastic 3 cheques ‎<adjunto: 00000568-PHOTO-2025-08-18-11-25-17.jpg>
‎[18/8/25, 11:25:57 a. m.] Guido Avios: Labels ‎<adjunto: 00000569-PHOTO-2025-08-18-11-25-57.jpg>
‎[18/8/25, 11:26:30 a. m.] Guido Avios: Pago a Natalfim ‎<adjunto: 00000570-PHOTO-2025-08-18-11-26-30.jpg>
‎[18/8/25, 11:27:01 a. m.] Guido Avios: Markplast ‎<adjunto: 00000571-PHOTO-2025-08-18-11-27-01.jpg>
‎[18/8/25, 2:23:08 p. m.] Guido Avios: Comprobante_transferencia_6957076.pdf • ‎1 página ‎<adjunto: 00000572-Comprobante_transferencia_6957076.pdf>
‎[18/8/25, 2:24:16 p. m.] Guido Avios: Comprobante_transferencia_6957092.pdf • ‎1 página ‎<adjunto: 00000573-Comprobante_transferencia_6957092.pdf>
‎[18/8/25, 3:28:49 p. m.] Guido Avios: pago arreglo del montacargas ‎<adjunto: 00000574-PHOTO-2025-08-18-15-28-49.jpg>
‎[18/8/25, 4:54:32 p. m.] Guido Avios: moto ‎<adjunto: 00000575-PHOTO-2025-08-18-16-54-32.jpg>
[19/8/25, 12:09:53 p. m.] Guido Avios: Carvi $1.000.000 en efectivo ‎<Se editó este mensaje.>
‎[19/8/25, 4:51:13 p. m.] Guido Avios: pago flete ‎<adjunto: 00000577-PHOTO-2025-08-19-16-51-13.jpg>
‎[20/8/25, 4:13:06 p. m.] Guido Avios: moto ‎<adjunto: 00000578-PHOTO-2025-08-20-16-13-06.jpg>
‎[21/8/25, 11:31:43 a. m.] Guido Avios: moto ‎<adjunto: 00000579-PHOTO-2025-08-21-11-31-43.jpg>
‎[21/8/25, 4:17:23 p. m.] Guido Avios: moto ‎<adjunto: 00000580-PHOTO-2025-08-21-16-17-23.jpg>
‎[22/8/25, 12:23:36 p. m.] Guido Avios: Gastos oficina ‎<adjunto: 00000581-PHOTO-2025-08-22-12-23-36.jpg>
‎[25/8/25, 12:44:41 p. m.] Guido Avios: gastos oficina ‎<adjunto: 00000582-PHOTO-2025-08-25-12-44-41.jpg>
‎[25/8/25, 5:30:58 p. m.] Guido Avios: pago a natalfim ‎<adjunto: 00000583-PHOTO-2025-08-25-17-30-58.jpg>
‎[26/8/25, 11:26:54 a. m.] Guido Avios: gastos ofi ‎<adjunto: 00000584-PHOTO-2025-08-26-11-26-54.jpg>
‎[26/8/25, 2:52:31 p. m.] Guido Avios: ‎<adjunto: 00000585-PHOTO-2025-08-26-14-52-31.jpg>
[26/8/25, 2:52:33 p. m.] Guido Avios: adelanto guille
‎[26/8/25, 4:00:49 p. m.] Facu: Nafta ‎<adjunto: 00000587-PHOTO-2025-08-26-16-00-49.jpg>
[26/8/25, 4:01:02 p. m.] Facu: Tire el tike
‎[26/8/25, 4:02:43 p. m.] Guido Avios: ecoflex ‎<adjunto: 00000589-PHOTO-2025-08-26-16-02-43.jpg>
‎[27/8/25, 12:33:07 p. m.] Guido Avios: pago dominio web ‎<adjunto: 00000590-PHOTO-2025-08-27-12-33-07.jpg>
[27/8/25, 1:24:11 p. m.] Guido Avios: Carvi 700k en efectivo
[28/8/25, 4:22:11 p. m.] Guido Avios: Bruno $950.000 efectivo
[28/8/25, 4:22:26 p. m.] Guido Avios: Brian $362.000 en efectivo
‎[28/8/25, 4:37:05 p. m.] Guido Avios: alquiler rojas ‎<adjunto: 00000594-PHOTO-2025-08-28-16-37-05.jpg>
‎[28/8/25, 4:52:15 p. m.] Guido Avios: ‎<adjunto: 00000595-PHOTO-2025-08-28-16-52-15.jpg>
[28/8/25, 4:52:15 p. m.] Guido Avios: pago a alex
[1/9/25, 12:15:12 p. m.] Guido Avios: Pago sueldo de mati en efectivo $420.0000
‎[1/9/25, 12:20:43 p. m.] Guido Avios: pago sueldo Guille ‎<adjunto: 00000598-PHOTO-2025-09-01-12-20-43.jpg>
‎[1/9/25, 12:24:22 p. m.] Guido Avios: pago sueldo caiu ‎<adjunto: 00000599-PHOTO-2025-09-01-12-24-22.jpg>
‎[1/9/25, 12:27:18 p. m.] Guido Avios: sueldo mile + monotributo + $250.000 en efectivo ‎<adjunto: 00000600-PHOTO-2025-09-01-12-27-18.jpg>
[1/9/25, 12:31:48 p. m.] Guido Avios: Carvi efectivo 700.000
‎[2/9/25, 11:12:52 a. m.] Guido Avios: Kirplastic adelantó ‎<adjunto: 00000602-PHOTO-2025-09-02-11-12-52.jpg>
‎[2/9/25, 11:13:32 a. m.] Guido Avios: Kirplastic para bajar cuenta (si no pasa para bajar cuenta lo devuelve ) ‎<adjunto: 00000603-PHOTO-2025-09-02-11-13-32.jpg>
‎[2/9/25, 12:14:45 p. m.] Guido Avios: MetroGAS - Detalle de pago 9215835651.pdf • ‎1 página ‎<adjunto: 00000604-MetroGAS - Detalle de pago 9215835651.pdf>
‎[2/9/25, 2:24:56 p. m.] Facu: Nafta ‎<adjunto: 00000605-PHOTO-2025-09-02-14-24-56.jpg>
‎[4/9/25, 10:30:04 a. m.] Guido Avios: pago a ecoflez ‎<adjunto: 00000606-PHOTO-2025-09-04-10-30-04.jpg>
‎[4/9/25, 10:44:21 a. m.] Guido Avios: moto ‎<adjunto: 00000607-PHOTO-2025-09-04-10-44-21.jpg>
‎[4/9/25, 4:56:38 p. m.] Guido Avios: flete ‎<adjunto: 00000608-PHOTO-2025-09-04-16-56-38.jpg>
‎[4/9/25, 4:57:37 p. m.] Guido Avios: moto ‎<adjunto: 00000609-PHOTO-2025-09-04-16-57-37.jpg>
‎[5/9/25, 4:51:11 p. m.] Facu: Pago s markplas ‎<adjunto: 00000610-PHOTO-2025-09-05-16-51-11.jpg>
‎[5/9/25, 5:10:32 p. m.] Guido Avios: Comprobante de pago de tarjeta Santander.pdf • ‎1 página ‎<adjunto: 00000611-Comprobante de pago de tarjeta Santander.pdf>
‎[8/9/25, 9:31:16 a. m.] Guido Avios: ‎<adjunto: 00000612-PHOTO-2025-09-08-09-31-16.jpg>
[8/9/25, 9:31:17 a. m.] Guido Avios: Pago sueldo de achu
‎[8/9/25, 10:47:49 a. m.] Guido Avios: pago de crédito ‎<adjunto: 00000614-PHOTO-2025-09-08-10-47-49.jpg>
‎[8/9/25, 2:53:48 p. m.] Guido Avios: pago aysa ‎<adjunto: 00000615-PHOTO-2025-09-08-14-53-48.jpg>
[9/9/25, 11:29:19 a. m.] Guido Avios: carvi $1.100.000 efectivo
‎[9/9/25, 2:13:12 p. m.] Guido Avios: pago tarjeta visa pesos ‎<adjunto: 00000617-PHOTO-2025-09-09-14-13-12.jpg>
‎[9/9/25, 2:17:28 p. m.] Guido Avios: pago tarjeta amex dolare ‎<adjunto: 00000618-PHOTO-2025-09-09-14-17-28.jpg>
‎[9/9/25, 2:24:11 p. m.] Guido Avios: pago amex pesos ‎<adjunto: 00000619-PHOTO-2025-09-09-14-24-11.jpg>
‎[9/9/25, 2:47:39 p. m.] Guido Avios: expensas facu ‎<adjunto: 00000620-PHOTO-2025-09-09-14-47-39.jpg>
‎[9/9/25, 2:49:59 p. m.] Guido Avios: devolución para arleo ‎<adjunto: 00000621-PHOTO-2025-09-09-14-49-59.jpg>
‎[9/9/25, 5:05:51 p. m.] Guido Avios: ‎<adjunto: 00000622-PHOTO-2025-09-09-17-05-51.jpg>
[9/9/25, 5:05:52 p. m.] Guido Avios: Pago para acuario 
‎[10/9/25, 9:20:26 a. m.] Facu: Nafta. Tire el ticket ‎<adjunto: 00000624-PHOTO-2025-09-10-09-20-26.jpg>
‎[10/9/25, 9:36:12 a. m.] Guido Avios: ‎<adjunto: 00000625-PHOTO-2025-09-10-09-36-12.jpg>
[10/9/25, 9:36:12 a. m.] Guido Avios: pago sueldo guido
‎[10/9/25, 1:16:34 p. m.] Guido Avios: ‎<adjunto: 00000627-PHOTO-2025-09-10-13-16-34.jpg>
[10/9/25, 1:16:35 p. m.] Guido Avios: Pago Markplast
[10/9/25, 2:32:19 p. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[10/9/25, 4:15:19 p. m.] Guido Avios: ‎<adjunto: 00000630-PHOTO-2025-09-10-16-15-19.jpg>
[10/9/25, 4:15:20 p. m.] Guido Avios: Sueldo Guido 
‎[10/9/25, 5:20:11 p. m.] Guido Avios: caro ‎<adjunto: 00000632-PHOTO-2025-09-10-17-20-11.jpg>
‎[10/9/25, 5:22:46 p. m.] Guido Avios: sueldo Guido ‎<adjunto: 00000633-PHOTO-2025-09-10-17-22-46.jpg>
‎[10/9/25, 6:22:12 p. m.] Guido Avios: ‎<adjunto: 00000634-PHOTO-2025-09-10-18-22-12.jpg>
[10/9/25, 6:22:13 p. m.] Guido Avios: Sueldo achu
‎[11/9/25, 12:53:28 p. m.] Guido Avios: comisiones guille ‎<adjunto: 00000636-PHOTO-2025-09-11-12-53-28.jpg>
‎[11/9/25, 2:12:48 p. m.] Guido Avios: pago a natalfim ‎<adjunto: 00000637-PHOTO-2025-09-11-14-12-48.jpg>
‎[12/9/25, 10:58:40 a. m.] Guido Avios: pago agua ‎<adjunto: 00000638-PHOTO-2025-09-12-10-58-40.jpg>
‎[12/9/25, 4:21:57 p. m.] Facu: Pago a markplast ‎<adjunto: 00000639-PHOTO-2025-09-12-16-21-57.jpg>
‎[12/9/25, 4:24:40 p. m.] Facu: Pago a brian ‎<adjunto: 00000640-PHOTO-2025-09-12-16-24-40.jpg>
[12/9/25, 4:37:33 p. m.] Guido Avios: Pagamos a perla 290.000 agosto
‎[12/9/25, 4:40:30 p. m.] Guido Avios: Comprobante_transferencia_7368406.pdf • ‎1 página ‎<adjunto: 00000642-Comprobante_transferencia_7368406.pdf>
‎[15/9/25, 1:25:41 p. m.] Guido Avios: moto ‎<adjunto: 00000643-PHOTO-2025-09-15-13-25-41.jpg>
[15/9/25, 2:06:05 p. m.] Guido Avios: carvi $1.000.000 efectivo
[15/9/25, 2:06:11 p. m.] Guido Avios: Printmax $250.000
‎[16/9/25, 11:10:06 a. m.] Guido Avios: 2025_09_16_11_09_14_093_receipt.pdf • ‎2 páginas ‎<adjunto: 00000646-2025_09_16_11_09_14_093_receipt.pdf>
[17/9/25, 8:37:43 a. m.] Facu: kevojs 35k
[17/9/25, 8:37:43 a. m.] Facu: Me pagas esto Guidito porfis
‎[18/9/25, 4:45:50 p. m.] Guido Avios: ‎<adjunto: 00000649-PHOTO-2025-09-18-16-45-50.jpg>
[18/9/25, 4:45:51 p. m.] Guido Avios: flete
‎[19/9/25, 3:01:17 p. m.] Guido Avios: moto ‎<adjunto: 00000651-PHOTO-2025-09-19-15-01-17.jpg>
‎[19/9/25, 3:02:11 p. m.] Guido Avios: moto ‎<adjunto: 00000652-PHOTO-2025-09-19-15-02-11.jpg>
‎[19/9/25, 3:44:48 p. m.] Guido Avios: ‎<adjunto: 00000653-PHOTO-2025-09-19-15-44-48.jpg>
[19/9/25, 3:44:49 p. m.] Guido Avios: moto
‎[19/9/25, 7:02:53 p. m.] Facu: Nafta ‎<adjunto: 00000655-PHOTO-2025-09-19-19-02-53.jpg>
[19/9/25, 7:02:58 p. m.] Facu: Tire el tike
‎[19/9/25, 7:03:33 p. m.] Facu: Me pague ‎<adjunto: 00000657-PHOTO-2025-09-19-19-03-33.jpg>
[22/9/25, 12:50:16 p. m.] Guido Avios: gastos oficina $6.000
‎[22/9/25, 2:10:55 p. m.] Guido Avios: ‎<adjunto: 00000659-PHOTO-2025-09-22-14-10-55.jpg>
‎[22/9/25, 2:10:56 p. m.] Guido Avios: ‎<adjunto: 00000660-PHOTO-2025-09-22-14-10-56.jpg>
[22/9/25, 2:10:58 p. m.] Guido Avios: pago alquiler avios
‎[22/9/25, 2:44:41 p. m.] Guido Avios: ecoflex ‎<adjunto: 00000662-PHOTO-2025-09-22-14-44-41.jpg>
‎[24/9/25, 11:58:49 a. m.] Guido Avios: Pago a acuario con 3 cheques ‎<adjunto: 00000663-PHOTO-2025-09-24-11-58-49.jpg>
‎[26/9/25, 8:55:56 a. m.] Guido Avios: ‎<adjunto: 00000664-PHOTO-2025-09-26-08-55-56.jpg>
[26/9/25, 8:55:56 a. m.] Guido Avios: Alquiler avios 
‎[26/9/25, 10:51:17 a. m.] Guido Avios: ‎<adjunto: 00000666-PHOTO-2025-09-26-10-51-17.jpg>
‎[26/9/25, 10:51:21 a. m.] Guido Avios: ‎<adjunto: 00000667-PHOTO-2025-09-26-10-51-21.jpg>
[26/9/25, 10:51:34 a. m.] Guido Avios: Pago markplast 2. Cheques + $100.000 en efectivo
[26/9/25, 11:15:03 a. m.] Guido Avios: 9600 gastos ofi
‎[26/9/25, 3:27:50 p. m.] Guido Avios: moto ‎<adjunto: 00000670-PHOTO-2025-09-26-15-27-50.jpg>
‎[26/9/25, 3:31:44 p. m.] Guido Avios: ‎<adjunto: 00000671-PHOTO-2025-09-26-15-31-44.jpg>
[26/9/25, 3:31:45 p. m.] Guido Avios: Pago Natalfim 
‎[29/9/25, 9:23:26 a. m.] Facu: Nafta ‎<adjunto: 00000673-PHOTO-2025-09-29-09-23-26.jpg>
[29/9/25, 4:40:11 p. m.] Facu: 100k
[29/9/25, 4:40:11 p. m.] Facu: full.etiquetas
[29/9/25, 4:40:11 p. m.] Facu: Pagar las etiquetas de dormis
‎[3/10/25, 4:43:07 p. m.] Guido Avios: pago sueldo achu ‎<adjunto: 00000677-PHOTO-2025-10-03-16-43-07.jpg>
‎[3/10/25, 4:44:04 p. m.] Guido Avios: pago sueldo Guille ‎<adjunto: 00000678-PHOTO-2025-10-03-16-44-04.jpg>
‎[3/10/25, 4:44:40 p. m.] Guido Avios: adelanto mati ‎<adjunto: 00000679-PHOTO-2025-10-03-16-44-40.jpg>
‎[3/10/25, 4:47:46 p. m.] Guido Avios: sueldo guido ‎<adjunto: 00000680-PHOTO-2025-10-03-16-47-46.jpg>
‎[6/10/25, 8:12:05 a. m.] Facu: Nafta ‎<adjunto: 00000681-PHOTO-2025-10-06-08-12-05.jpg>
